id,builder_group,high_triangles,low_triangles,high_gear_triangles,low_gear_triangles,configured_return_stations_high,configured_return_stations_low,shared_roller_tire_instances_high,shared_roller_tire_instances_low,wheel_pattern_status,wheel_finish_flags,rest_wrap_status,animated_stock_fit,country_tread_match,closure_visuals,material_visuals,next_action
kurganets25_x,kurganetsX,59232,38650,41936,25072,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
tos1a_tagil,tos1aTagil,74840,64694,58724,53476,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
upior,afv,55566,50778,42392,37816,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
bmpt_t90,afv,84114,78746,53400,48152,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m551_sheridan,sheridan,84642,72938,60428,53260,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m551a1_tts,sheridan,89884,77716,60228,53060,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leo2a7v_x,leopardX,91642,85290,59464,53880,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a6m_x,leopardX,86736,79872,60828,54732,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a4m_x,leopardX,78402,72050,58980,53396,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leo2a5_x,leopardX,91148,85436,58884,53300,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
k2_x,k2X,74046,69330,55068,50876,3,3,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
kf51_x,kf51X,68488,62904,57428,51844,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a_x,t90X,95780,90286,76720,71472,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a_vladimir_x,t90X,76696,71294,55788,50540,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90m_x,t90X,98406,93016,73776,68528,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90sm_x,t90X,102910,97520,76212,70964,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t14_x,t14X,77546,71916,52280,47480,4,4,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
griffin50_x,griffin50X,61602,35792,46312,24680,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
kf41_lynx_x,kf41LynxSourceX,76328,52736,40096,23936,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
k21_x,k21X,58484,36486,43104,25152,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leo2a6_x,leopardA6X,94790,89478,55956,50644,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
k1a1_x,k1a1X,91616,87560,50544,47312,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
amx30_x,amx30X,66020,61556,52976,48832,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t62mv1_x,t62mv1X,63234,59282,53284,49460,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72b_1987_x,t72b1987X,76498,71122,55416,50168,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t80u_x,t80uX,60742,56038,47316,44084,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
leclerc_x,leclercX,113616,93296,63472,57360,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
leclerc_classic_x,leclercClassicX,117934,100590,66520,60408,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
chieftain_mk10_x,chieftain10X,103636,94836,77188,68388,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72b3_x,t72b3X,70724,65348,57916,52668,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
jpz_e100_x,jagdpanzerE100X,99482,97114,73304,70936,0,0,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
type10_x,type10X,64504,40742,44360,21032,3,3,0,0,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
type90_x,type90X,70014,63852,54708,48884,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
amx40_x,amx40X,99570,94418,56840,51688,5,5,10,10,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
strv122_x,strv122X,128028,111356,44368,27696,4,4,8,8,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
t72b3m_x,t72b3mX,81646,76270,59064,53816,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
challenger1_x,challenger1X,101252,98020,81196,77964,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t72bu_x,t72buX,71404,66028,58192,52944,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
chieftain5_x,chieftain5X,87166,77760,62804,53812,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
t90_x,t90AwX,93648,88272,58740,53492,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90a_burlak_x,t90BurlakX,83412,78036,58740,53492,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
t90ms_x,t90msX,79950,74574,58724,53476,3,3,6,6,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Profile repeated stock cost before geometry changes
m1a2_x,abramsSourceX,111322,70090,70152,36008,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_tusk_x,abramsSourceX,127172,83286,70152,36008,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_sepv2_x,abramsSourceX,144534,96344,70152,36008,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
m1a2_sepv3_x,abramsSourceX,140020,92502,70152,36008,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
ua_m1a1_x,abramsSourceX,130982,89750,70152,36008,2,2,4,4,PASS,NONE,PASS,NOT RUN,NOT RUN,NOT RUN,NOT RUN,Complete paired-country tread and moving-stock/native visual evidence
